SN_name,redshift,x1_stretch,distance_modulus,mu_error
AT2016gmg,0.04865,-1.82133,36.641,0.181462
1990af,0.04934,-2.16797,36.5997,0.202684
PS16el,0.0494,-1.31125,36.4691,0.176995
2006cq,0.04944,-0.16718,36.5828,0.168097
1993ag,0.04985,-0.828686,36.6402,0.244395
PS15asb,0.04989,-1.52138,36.4714,0.18553
1998dx,0.05018,-1.59626,36.5693,0.155812
ASASSN-17eb,0.05044,-1.50448,36.4621,0.201896
2008hu,0.05052,-1.71892,36.7036,0.133364
AT2016cor,0.05066,-0.547169,36.8523,0.302557
2003ic,0.05126,-1.69928,36.393,0.201448
1993O,0.05194,-0.650657,36.7759,0.228182
2006ot,0.05202,-1.13594,36.5433,0.298829
AT2016htn,0.05222,-0.150879,36.8411,0.218249
PS16n,0.05309,-0.327907,36.7752,0.161766
2010dt,0.05316,-0.080844,36.8474,0.172204
PS16bby,0.05468,-0.806099,36.8327,0.178902
490007,0.05541,-0.205706,36.8676,0.194374
AT2017oz,0.05614,-0.067616,36.8109,0.193162
PS16aer,0.05693,-0.052972,37.0393,0.176308
2006ob,0.05824,-2.16098,36.9821,0.138149
2006ob,0.05824,-2.38342,36.9324,0.14674
SN2017cjv,0.06092,-1.26761,37.032,0.17759
2008bz,0.06099,-0.455183,37.1631,0.123921
SN2016hhv,0.06121,-0.771196,37.1383,0.198009
2008go,0.06137,-0.812736,36.9608,0.196145
2008go,0.06137,-0.766723,36.9691,0.141986
1992bs,0.06372,-0.254896,37.3517,0.206518
PS16bnz,0.06446,-1.13602,37.0786,0.154429
6057,0.06654,-0.423267,37.1627,0.296189
AT2016aj,0.06725,-1.03989,37.2344,0.203006
PS15bjg,0.06786,-0.875725,37.4935,0.190499
2006al,0.06886,-1.43923,37.4213,0.159324
PTSS17-niq,0.06897,-0.597985,37.2817,0.174144
1993B,0.07023,-0.323197,37.2944,0.277681
2008Y,0.07056,-0.281662,37.2961,0.226908
2008Y,0.07056,-0.607813,37.2775,0.212322
PS16em,0.07083,-0.938437,37.4814,0.447068
PS15bdr,0.07116,-2.30724,37.3552,0.196012
370566,0.07167,-0.201739,37.4155,0.208957
2007jd,0.07222,-0.876053,37.6319,0.199695
PS15atx,0.07252,-1.43738,37.6225,0.304764
1992ae,0.0744,-0.748829,37.4346,0.222054
PS17bii,0.07446,-0.890865,37.4501,0.192118
AT2016gsu,0.07575,-1.91024,37.5461,0.217171
560033,0.07895,-0.248002,37.5988,0.503338
12779,0.07906,-0.63006,37.7843,0.238199
PS15bzz,0.07931,-0.914595,37.53,0.147217
350316,0.07991,-0.427538,37.6003,0.157805
12950,0.08167,-0.396496,37.7215,0.219648
130308,0.08245,-1.01914,37.8192,0.217606
12898,0.08282,-0.063567,37.6774,0.265638
12781,0.08309,-1.83569,37.9939,0.195118
3592,0.08572,-0.153731,37.8406,0.128563
1241,0.0887,-0.551806,37.7772,0.253181
370066,0.09089,-0.081354,38.0269,0.167553
100405,0.10294,-0.941741,38.1815,0.18625
13135,0.10361,-1.34728,38.3338,0.12638
20625,0.10707,-0.101771,38.4624,0.151122
3256,0.10711,-0.424628,38.4295,0.210466
120225,0.10713,-0.829043,38.7801,0.468541
7147,0.10908,-1.94961,38.4016,0.133183
18612,0.11388,-0.737167,38.3876,0.194923
2561,0.1176,-0.089094,38.5727,0.239635
16259,0.11792,-1.4998,38.6088,0.214419
000137,0.11901,-0.710055,38.5629,0.212381
12860,0.12058,-0.302934,38.7926,0.252257
390259,0.12231,-0.298396,38.6119,0.231142
2916,0.12316,-0.749253,38.5967,0.274641
16021,0.12357,-0.33583,38.6164,0.162163
19543,0.12405,-0.83315,38.835,0.221531
13044,0.12472,-0.017798,38.7616,0.12587
2992,0.12623,-0.956571,38.4956,0.293348
22075,0.1292,-1.67195,38.7547,0.150979
1032,0.12921,-2.5393,38.8403,0.212795
18415,0.12958,-1.6309,38.8429,0.142748
18809,0.13169,-1.16804,38.802,0.134576
1334084,0.13366,-0.905296,38.8266,0.283718
17629,0.13658,-0.34633,38.8475,0.195569
19775,0.137,-0.212482,39.0095,0.224296
12928,0.13875,-0.5426,38.9999,0.176022
190230,0.1388,-1.41317,39.0467,0.130742
090275,0.13955,-1.10837,39.0213,0.145767
340229,0.14123,-1.42415,39.0407,0.212429
1317666,0.14134,-0.139994,39.1237,0.260864
440008,0.14652,-0.308162,39.158,0.187578
14024,0.14771,-1.92744,39.134,0.188785
1293758,0.14803,-1.32993,39.2285,0.184985
460003,0.15084,-0.825438,39.1687,0.134119
18740,0.15336,-0.040405,39.0991,0.159928
18030,0.15536,-0.586144,39.3994,0.175858
16206,0.15856,-2.62037,39.0794,0.163715
440042,0.15921,-1.47864,39.4267,0.283686
14782,0.15931,-0.318108,38.9503,0.143914
1299775,0.16004,-0.41485,39.0428,0.270648
3317,0.16008,-0.521071,39.2286,0.167715
390627,0.16061,-1.70509,39.4242,0.26036
5103,0.16077,-0.229473,39.2162,0.20927
120336,0.16122,-0.240589,39.3106,0.246322
17825,0.16236,-0.136652,39.3252,0.224064
19174,0.16375,-0.75334,39.2807,0.200998
20764,0.16495,-1.41288,39.3182,0.150918
20430,0.16603,-1.19771,39.4938,0.241887
12843,0.16606,-1.02597,39.1817,0.193496
12853,0.16828,-0.57422,39.2757,0.165826
350233,0.16924,-0.472297,39.5155,0.182871
310039,0.17169,-0.296436,39.4603,0.214715
100090,0.17297,-1.0254,39.7263,0.252568
15897,0.17374,-2.41302,39.5403,0.18318
120143,0.17378,-0.260387,39.3493,0.151501
15648,0.17392,-1.3803,39.5986,0.318528
14421,0.17417,-0.675014,39.5734,0.137128
5350,0.17438,-0.610994,39.5053,0.183971
15583,0.17443,-0.19462,39.5546,0.230974
18604,0.17498,-2.13552,39.7434,0.182014
17218,0.17713,-0.7975,39.5095,0.175623
13045,0.17931,-0.084895,39.5355,0.229828
1347120,0.17952,-0.438722,39.5509,0.280575
1303496,0.17975,-0.40919,39.5962,0.208929
14284,0.1805,-0.286147,39.3688,0.13762
330023,0.18078,-0.221277,39.7166,0.179158
370595,0.18126,-0.058569,39.6585,0.225961
1339392,0.18145,-0.480363,39.3953,0.235174
17332,0.18217,-0.208196,39.5863,0.201062
20048,0.18402,-0.676762,39.796,0.218377
8213,0.18484,-0.647946,39.6548,0.27682
15461,0.18493,-0.163539,39.613,0.134864
16281,0.18522,-0.815183,39.5427,0.172189
16100,0.18908,-0.349949,39.8089,0.256269
1273127,0.18929,-1.6241,39.9359,0.228953
